RING_ID,anello_contigs,anello_orf1
R01D01,0,0
R01T00,0,0
R01T01,0,0
R01T02,0,0
R01T03,1,0
R01T04,0,0
R02D01,2,0
R02D02,7,0
R02D03,0,0
R02D04,3,3
R02T00,1,1
R02T01,1,1
R02T02,12,7
R02T03,3,3
R02T04,0,0
R03D01,0,0
R03D02,0,0
R03D03,0,0
R03T00,5,4
R03T01,11,11
R03T02,14,13
R03T03,25,22
R03T04,8,6
R04D01,55,51
R04D02,43,29
R04T00,13,6
R04T01,264,191
R04T02,29,30
R04T03,57,49
R04T04,135,98
R05D01,2,2
R05D02,0,0
R05D03,1,1
R05D04,2,2
R05D05,2,2
R05D06,51,38
R05D07,1,103
R05T00,17,12
R05T01,10,7
R05T02,118,90
R05T03,71,59
R05T04,53,36
R06D01,2,2
R06D02,2,2
R06D03,1,0
R06T00,2,2
R06T01,3,3
R06T02,1,1
R06T03,3,3
R06T04,1,1
R07D01,13,10
R07D02,0,0
R07D03,11,6
R07D04,0,0
R07D05,3,2
R07T00,0,0
R07T01,6,3
R07T02,30,22
R07T03,31,20
R07T04,12,6
R08D01,0,0
R08D02,0,0
R08D03,0,0
R08T00,1,1
R08T01,5,5
R08T02,6,3
R08T03,1,1
R08T04,3,2
R09D01,0,0
R09T00,15,15
R09T01,6,6
R09T02,6,6
R09T03,4,4
R09T04,1,1
R10D01,2,2
R10D02,1,1
R10T00,0,0
R10T01,0,0
R10T02,1,1
R10T03,1,1
R10T04,0,0
R11D01,1,1
R11D02,0,0
R11D03,1,1
R11D04,1,1
R11D05,1,1
R11T00,1,1
R11T01,13,8
R11T02,13,6
R11T03,9,9
R11T04,24,19
R12D01,0,0
R12T00,0,0
R12T01,5,4
R12T02,8,6
R12T03,11,11
R12T04,21,21
R13D01,0,0
R13D02,0,0
R13D03,0,0
R13D04,0,0
R13D05,0,0
R13D06,0,0
R13D07,2,1
R13D08,2,1
R13T00,0,0
R13T01,0,0
R13T02,2,1
R13T03,4,1
R13T04,12,7
R14D01,0,0
R14D02,2,1
R14T00,0,0
R14T01,0,0
R14T02,2,2
R14T03,2,2
R14T04,1,1
R15D01,0,0
R15D02,7,8
R15D03,22,19
R15D04,9,9
R15D05,5,3
R15T00,8,4
R15T01,204,141
R15T02,0,0
R15T03,6,4
R15T04,3,3
