ID	R03D01	R03D02	R03D03	R03T00	R03T01	R03T02	R03T03	R03T04
R03T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3606_cov_1706.358209_395_2_1|TTV_Clade7	1.0			0.37945253750590424	0.6133733143165218	0.1291911843929973	0.4233444504536987	0.0
R03T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3494_cov_2129.349520_338_2_1|TTV_Clade9	0.0			0.4619092960660974	0.08408538091623287	0.28673401293632284	0.0728186407066883	0.7627972102271434
R03T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_3_length_3057_cov_565.257162_348_6_1|TTV_Clade8	0.0			0.12442738362110976	0.0	0.0	0.03974070067904573	0.0
R03T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_4_length_2943_cov_156.764543_364_1_1|TTV_Clade5	0.0			0.03217897869979532	0.0	0.02468050202108322	0.035462111651943996	0.14912686788042528
R03T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_10_length_2641_cov_1038.547564_353_2_1|TTMV	0.0			0.0	0.02471073590372829	0.019780722028938158	0.02395138513310498	0.0
R03T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_11_length_2637_cov_805.721534_284_5_1|TTMV	0.0			0.0	0.017102508668456556	0.0	0.0	0.0
R03T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3057_cov_1695.534310_388_1_1|TTV_Clade4	0.0			0.0	0.050001172022207115	0.07388857801242193	0.0	0.0
R03T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_4_length_2965_cov_4.819931_416_5_1|TLMV	0.0			0.0	0.00010548199864045424	0.002141861620967826	0.0015278528934559222	0.0
R03T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_5_length_2951_cov_9.320442_354_6_1|TLMV	0.0			0.00017244093897839988	0.00022358577489600557	0.0	0.0005152935520701881	0.0
R03T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_6_length_2881_cov_2917.436660_554_2_1|TTMV	0.0			0.0	0.07176472285281024	0.11920480889207102	0.0	0.0
R03T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_7_length_2870_cov_9.781528_437_2_1|TLMV	0.0			0.0	0.00025333710784587727	2.6067281391089162e-06	0.0	0.0
R03T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_8_length_2704_cov_697.557569_376_1_1|TTMV	0.0			0.0	0.0174946853300685	0.13455061744700522	0.005660717504957635	0.04108767749132939
R03T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_9_length_2654_cov_4911.836860_277_4_1|TTMV	0.0			0.0002024306674963825	0.12088237044196055	0.041953551580198596	0.08668048795144523	0.0
R03T02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_10_length_2569_cov_478.891010_303_6_1|TTMV	0.0			0.0	0.0	0.011665977331892102	0.002116759810107566	0.0
R03T02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_13_length_2528_cov_206.797816_265_4_1|TTMV	0.0			0.0	0.0	0.004766836857050504	0.0	0.0
R03T02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_14_length_2511_cov_3028.580619_269_2_1|TTMV	0.0			0.0	0.0	0.07009491966063876	0.005264106724355507	0.0
R03T02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3683_cov_1000.490077_840_6_1|TTV_Clade1	0.0			0.0	0.0	0.025509441569319852	1.5023135628868457e-06	0.0
R03T02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_3_length_3582_cov_2563.253190_396_3_1|TTV_Clade5	0.0			0.0	1.8031110878710127e-06	0.05583177219281447	0.056121927768763895	0.0
R03T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_10_length_2987_cov_481.583902_400_1_1|TTV_Clade9	0.0			0.0	0.0	2.6067281391089162e-06	0.018018748873264826	0.0
R03T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_13_length_2934_cov_585.071900_353_2_1|TTV_Clade3	0.0			0.0	0.0	0.0	0.025441680187488734	0.0
R03T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_15_length_2926_cov_209.445489_429_6_1|TLMV	0.0			0.0	0.0	0.0	0.008642809927288024	0.0
R03T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_16_length_2895_cov_17.566901_540_3_1|TLMV	0.0			0.0	0.0	0.0	0.0006249624421609278	0.0
R03T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_17_length_2892_cov_19.227000_376_4_1|TLMV	0.0			0.0016569325006185382	0.0	0.0	0.0007496544678805361	0.0
R03T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3781_cov_1644.220075_623_2_1|TTV_Clade7	0.0			0.0	0.0	0.0	0.04912715581996274	0.0
R03T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_22_length_2574_cov_42.715363_264_6_1|TTMV	0.0			0.0	0.0	0.0	0.0017757346313322516	0.010814543853923973
R03T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3642_cov_1321.235294_876_6_1|TTV_Clade5	0.0			0.0	0.0	0.0	0.028297578270536628	8.727526618956188e-05
R03T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_3_length_3232_cov_236.042808_268_4_1|TTV_Clade4	0.0			0.0	0.0	0.0	0.0071059431524547806	0.0
R03T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_4_length_3215_cov_265.386076_363_6_1|TTV_Clade1	0.0			0.0	0.0	0.0	0.011298900306471966	0.0
R03T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_5_length_3170_cov_1297.162440_478_1_1|TTV_Clade5	0.0			0.0	9.015555439355063e-07	0.0	0.060460609338381106	0.0
R03T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_9_length_2990_cov_832.364906_384_3_1|TTV_Clade5	0.0			0.0	0.0	0.0	0.03525028543957695	0.01534906311899034
R03T04_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_10_length_2505_cov_204.055510_247_4_1|TTMV	0.0			0.0	0.0	0.0	0.0	0.020737362161998073
