ID	R05D01	R05D02	R05D03	R05D04	R05D05	R05D06	R05D07	R05T00	R05T01	R05T02	R05T03	R05T04
R05D01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3062_cov_385.677752_304_4_1|TTV_Clade6	0.4217389796413831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018780493569714365	0.0	0.0
R05D03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_3_length_3017_cov_12725.115125_578_2_1|TLMV	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R05D04_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3552_cov_240.207035_878_5_1|TTV_Clade5	0.0	0.0	0.0	0.8204699738903394	0.0	0.0	0.0	0.0010088801894390868	0.0	0.0	0.003406368562598079	0.010314619650471708
R05D04_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_3_length_3485_cov_46.852770_373_1_1|TTV_Clade3	0.0	0.0	0.0	0.15174934725848563	0.0	1.4690176825658451e-06	0.0	0.0	0.0	0.00012353984793633628	2.6456654339054808e-05	0.0
R05D05_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3155_cov_9115.565484_464_5_1|TTV_Clade7	0.0	0.0	0.0	0.0	0.7429451828120264	0.0	0.0	0.0	0.2661065285746901	2.1930150521243127e-06	0.0	0.0
R05D05_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3150_cov_3042.210016_463_4_1|TTV_Clade5	0.0	0.0	0.0	0.0	0.253105732569102	0.0037195527722567196	0.0	0.0	0.0	0.06957242785528732	0.0	0.0
R05D06_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_32_length_2616_cov_56.931277_431_5_1|TLMV	0.0	0.0	0.0	0.0	0.0	0.0006698720632500253	0.0	0.0	0.0	0.0010979695360969059	3.002384368814085e-05	0.0
R05D06_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_34_length_2553_cov_1246.543635_282_3_1|TTMV	0.0	0.0	0.0	0.0	0.0	0.01640158242584766	0.0	0.0	0.0	0.12507057244271905	0.0	0.0
R05D06_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_38_length_2499_cov_6523.196399_257_2_1|TTMV	0.0	0.0	0.0	0.0	0.0	0.06066112651131315	0.0	0.0	0.0	0.000817019941085869	0.013704992846299027	2.7617595722586777e-07
R05D06_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_39_length_2498_cov_4538.726156_205_4_1|TTMV	0.0	0.0	0.0	0.0	0.0	0.05462933990669779	0.0	0.0	0.0	0.06110105437727023	0.05992194395172642	0.0
R05D06_VL46-0475-05292019|NODE_10_length_3011_cov_369.873139_571_1_1|TLMV	0.0	0.0	0.0	0.0	0.0	0.00235483534515305	0.0	0.0	0.0	0.0	0.00045615433801437757	0.00015521088796093766
R05D06_VL46-0475-05292019|NODE_11_length_3001_cov_209.741005_388_4_1|TTV_Clade5	0.0	0.0	0.0	0.0	0.0	0.0014469824173273574	0.0	0.0	0.0	0.0036460093583262324	0.0	0.0
R05D06_VL46-0475-05292019|NODE_12_length_2993_cov_255.557182_541_1_1|TLMV	0.0	0.0	0.0	0.0	0.0	0.001524350681942492	0.0	0.0	0.0	7.431884343310171e-05	0.0	0.0
R05D06_VL46-0475-05292019|NODE_13_length_2964_cov_42.279821_690_6_1|TLMV	0.0	0.0	0.0	0.0	0.0	0.00025609874932731234	0.0	0.0	0.0	0.00015984643046594991	0.001559456277108781	0.0
R05D06_VL46-0475-05292019|NODE_14_length_2962_cov_68.930513_575_2_1|TLMV	0.0	0.0	0.0	0.0	0.0	0.0003927173938059359	0.0	0.0	0.0	0.00017202984742219608	0.0	0.0
R05D06_VL46-0475-05292019|NODE_15_length_2955_cov_57.094483_585_3_1|TLMV	0.0	0.0	0.0	0.0	0.0	0.0003530539163766581	0.0	0.0	0.0	0.0	2.9726577909050346e-07	0.001109122644219085
