ID	R07D01	R07D02	R07D03	R07D05	R07T00	R07T01	R07T02	R07T03	R07T04
R07D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_10_length_2565_cov_9091.824303_268_4_1|TTMV	0.1407122238802319	0.0	0.0	0.0		0.0	0.0	0.0	0.0
R07D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_11_length_2517_cov_7.651909_334_4_1|TLMV	0.00011986594584016244	0.0	0.0	0.0		0.0	0.0	0.0	0.0
R07D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_1_length_3817_cov_18942.249070_649_1_1|TTV_Clade6	0.33211367694904476	0.0	0.0	0.0		0.0	0.0	0.0	0.0
R07D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_2_length_3033_cov_129.020148_376_1_1|TTV_Clade5	0.0022224124856283175	0.0	0.000738428055084142	0.0		0.0	0.002784213389205633	0.0	0.0
R07D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_3_length_2919_cov_90.749302_877_4_1|TLMV	0.0013313681841532327	0.0	0.0	0.0		0.0616670509359529	7.252654270000202e-05	0.0	0.0
R07D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_4_length_2900_cov_48.224253_379_4_1|TLMV	0.0007081875779740208	0.0	0.0	0.0		0.0	0.0	0.0	0.0
R07D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_5_length_2890_cov_4647.058554_536_2_1|TLMV	0.06805144450695956	0.0	0.0	0.0		0.0	0.00015624545310062162	0.0	0.0
R07D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_6_length_2876_cov_6.341014_507_3_1|TLMV	9.295726412094229e-05	0.0	0.0	0.0		0.0	0.0	0.0032838210421968464	0.0
R07D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_7_length_2865_cov_3516.786833_491_2_1|TLMV	0.05253308544729568	0.0	0.0	0.0		0.0	0.0	0.0	0.0
R07D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_8_length_2863_cov_184.399217_206_2_1|TLMV	0.0026829178795958804	0.0	0.0	0.0		0.0	9.132972043703958e-05	0.0	0.0
R07D03-TTVRCA_S7_2019.02.05_iseq_run_VL46-0348_R07D02-R07T00|NODE_1_length_3545_cov_116.908309_359_2_1|TTV_Clade5	6.11560948164094e-07	0.0	0.25609203145444415	0.0		0.0035183332758442275	4.0292523722223344e-05	0.0	3.1835018201671657e-06
R07D03-TTVRCA_S7_2019.02.05_iseq_run_VL46-0348_R07D02-R07T00|NODE_2_length_3261_cov_163.158453_491_5_1|TTMV	0.0	0.0	0.3358033967690534	0.0		0.0	0.0021346083678617876	0.0	0.0
R07D03-TTVRCA_S7_2019.02.05_iseq_run_VL46-0348_R07D02-R07T00|NODE_3_length_3018_cov_154.438407_274_4_1|TTV_Clade4	0.0	0.0	0.3239885478877071	0.0		0.0	0.0	0.0	0.0
R07D03-TTVRCA_S7_2019.02.05_iseq_run_VL46-0348_R07D02-R07T00|NODE_4_length_3001_cov_27.235234_300_6_1|TTV_Clade7	0.0	1.0	0.05558938218186058	1.5413806763270131e-06		0.06936998596660669	0.009733330647165086	0.0	7.958754550417915e-06
R07D03-TTVRCA_S7_2019.02.05_iseq_run_VL46-0348_R07D02-R07T00|NODE_5_length_2934_cov_10.276485_407_2_1|TTV_Clade6	0.0	0.0	0.02330582580870827	0.0		0.0	0.0	0.0	0.0
R07D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_8_length_2501_cov_7.733851_260_2_1|TTMV	0.0	0.0	0.0025650658755554403	0.0		0.0	0.0	0.0	0.0
R07D05-TTVRCA_S6_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_1_length_3136_cov_4362.756897_538_1_1|TTMV	1.834682844492282e-06	0.0	0.0	0.9994404788144933		0.0	0.0	0.0	0.0
R07D05_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_1_length_3808_cov_6.918465_843_6_1|TTV_Clade5	0.0	0.0	0.0	0.00032985546473398084		0.0	0.0	0.0	0.0
R07T01-TTVRCA_S7_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_1_length_3730_cov_142.561361_889_4_1|TTV_Clade3	0.0	0.0	0.0	0.0		0.07943118463261738	0.16043005553652853	0.0	0.0
R07T01-TTVRCA_S7_2019.02.06_iseq_run_VL46-0348_R07D05-R07T01-4|NODE_2_length_3725_cov_1796.409809_344_5_1|TTV_Clade5	0.0	0.0	0.0009068414711559638	0.0		0.774400040665978	0.00031965402152963853	0.0	0.0
