ID	R11D01	R11D02	R11D03	R11D04	R11D05	R11T00	R11T01	R11T02	R11T03	R11T04
R11D01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_2887_cov_4.956215_502_1_1|TLMV	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004077046655988234
R11D02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_2931_cov_88.142559_167_5_1|TLMV	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R11D03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3719_cov_239.174127_878_5_1|TTV_Clade5	0.0	0.0	0.9997379111518805	0.0	0.0	0.0	0.0	0.5697175633146393	0.269473057573791	0.23726411117763302
R11D04_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_2674_cov_2.888507_180_6_1|TTMV	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.869514066321808e-07	0.0	0.0
R11T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3820_cov_268.499867_882_6_1|TTV_Clade9	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.352966240145929e-05	3.7534987300037047e-07	0.2674852195151458
R11T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3829_cov_11871.411765_646_1_1|TTV_Clade5	0.0	0.0	0.0	0.0	0.0	0.0	0.3899644786141794	0.0	0.13832318449835052	0.04295092445604053
R11T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3826_cov_7773.191196_890_5_1|TTV_Clade7	0.0	0.0	0.0	0.0	0.0	0.0	0.24815824047491605	0.003722743503703022	0.0006425989825766343	0.0009273375980384452
R11T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_3_length_3657_cov_10858.192115_838_4_1|TTV_Clade3	0.0	0.0	0.0	0.0	0.0	0.0	0.3168624397839521	0.13497270393890123	0.0	0.10513017257433585
R11T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_4_length_3321_cov_1150.323331_569_2_1|TTMV	0.0	0.0	0.0	0.0	0.0	0.0	0.03425526738358231	3.359964705762047e-05	0.0	0.0
R11T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_6_length_2941_cov_205.972973_453_6_1|TLMV	0.0	0.0	0.0	0.0	0.0	0.0	0.005273709308549463	0.0	0.0	0.0
R11T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_7_length_2931_cov_69.969402_261_3_1|TLMV	0.0	0.0	0.0	0.0	1.0	0.0	0.0016407960683178435	0.0	0.0	0.0
R11T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_8_length_2888_cov_44.748676_209_2_1|TLMV	0.0	0.0	0.0	0.0	0.0	0.0	0.001119166950513357	0.0	0.0	0.0
R11T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_9_length_2851_cov_19.913805_324_6_1|TLMV	0.0	0.0	0.0	0.0	0.0	0.0	0.0004934066468784974	2.434757033160904e-06	0.0	0.0
R11T02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_4_length_3209_cov_3850.923906_715_1_1|TTMV	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.060648336841818216	0.0	0.0
R11T02_VL46-0475-05292019|NODE_2_length_3678_cov_11505.078112_467_2_1|TTV_Clade9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10064019501429933	3.7534987300037047e-07	0.0001447923111472457
R11T02_VL46-0475-05292019|NODE_5_length_3122_cov_5513.209325_392_2_1|TTV_Clade5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04604369025410585	0.20175656233566713	9.525809943897743e-07
R11T02_VL46-0475-05292019|NODE_7_length_2895_cov_10746.661972_364_1_1|TTV_Clade7	0.0	0.0	0.0002620888481195125	0.0	0.0	0.0	0.002232494769110992	0.0840492736389343	0.00037122102439736637	0.09260849540308226
R11T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_4_length_3833_cov_25544.017734_945_6_1|TTV_Clade3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4121590792333241e-05	0.30866821736210864	0.0
R11T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_6_length_3246_cov_4153.759636_633_3_1|TTV_Clade5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04861831834999199	0.042109319147497166
