ID	R12D01	R12T00	R12T01	R12T02	R12T03	R12T04
R12T00_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_1_length_3875_cov_1168.964660_645_3_1|TTV_Clade3	0.0	0.9996771447858883	0.0	0.2076346245362417	0.15384816351175218	0.2018654432784758
R12T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_1_length_3679_cov_2417.364514_379_4_1|TTV_Clade1	0.0	0.00017610284406093158	0.22301282864663147	3.0554386425908286e-06	0.0	0.005483354985514611
R12T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_2_length_3333_cov_1827.983527_353_5_1|TTV_Clade9	0.0	0.0	0.18143604059097015	0.15062854192176398	0.16240794335958478	0.09339200994562187
R12T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_3_length_3147_cov_2853.124515_531_3_1|TTMV	0.0	0.0	0.2383206608558721	0.0	0.0	0.0
R12T01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_4_length_3002_cov_161.052935_388_1_1|TTV_Clade5	0.0	0.0	0.013651788299675624	0.11210939081428203	0.015422843690219427	0.039325474630195124
R12T02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_1_length_4233_cov_9393.292724_1155_3_1|TTV_Clade5	0.0	0.0	2.2774670661994607e-05	0.16748463305327693	0.13073639506631562	0.05645067217638778
R12T02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_2_length_3610_cov_11127.929677_396_3_1|TTV_Clade7	0.0	0.0	0.2643813911419545	0.22018942191864743	0.161960178699465	0.11494352056477837
R12T02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_4_length_3388_cov_1300.794479_527_5_1|TTV_Clade1	0.0	0.0	0.0	0.028632515519718654	2.90285030871813e-06	0.007571072685813267
R12T02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_7_length_2925_cov_4133.875958_266_5_1|TTV_Clade7	1.0	0.00011740189604062105	0.0	0.0859380311211703	0.022300421784149857	0.005340338732796103
R12T03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_11_length_2851_cov_188.274678_281_5_1|TTV_Clade3	0.0	0.0	0.0	0.0	0.003476163244689961	7.909837440855988e-05
R12T03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_12_length_2784_cov_35.189813_273_6_1|TTV_Clade6	0.0	0.0	0.0	0.0	0.0007191811639849168	0.03008215045309786
R12T03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_13_length_2444_cov_1192.181247_4_1_1|TTV_Clade5	0.0	0.0	1.6267621901424718e-05	0.01167024789537567	0.05188046642998761	0.024458176135301365
R12T03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_2_length_3851_cov_5772.091149_888_6_1|TTV_Clade6	0.0	0.0	0.0	0.0	0.11466839289498358	0.0733617448302421
