ID	R13D01	R13D02	R13D03	R13D04	R13D05	R13D06	R13D07	R13D08	R13T00	R13T01	R13T02	R13T03	R13T04
R13D07-TTVRCA_S4_2019.02.12_iseq_run_VL46-0348_R13D04-8|NODE_1_length_3253_cov_711.081926_710_2_1|TTMV	0.0	0.0					1.0	0.0			0.0	0.0	0.0
R13D08_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_1_length_2806_cov_16.339149_376_4_1|TLMV	0.0	0.0					0.0	1.0			0.0	0.0	0.0
R13T02-TTVRCA_S6_2019.02.07_iseq_run_VL46-0348_R13T00-D01-3|NODE_1_length_3867_cov_1758.208552_579_3_1|TTV_Clade7	0.0	0.0					0.0	0.0			1.0	1.0	0.0
R13T04-TTVRCA_S8_2019.02.07_iseq_run_VL46-0348_R13T00-D01-3|NODE_1_length_3637_cov_3732.385539_388_1_1|TTV_Clade4	0.5	0.0					0.0	0.0			0.0	0.0	0.1613721465101955
R13T04-TTVRCA_S8_2019.02.07_iseq_run_VL46-0348_R13T00-D01-3|NODE_2_length_3536_cov_10588.216892_335_2_1|TTV_Clade6	0.0	0.0					0.0	0.0			0.0	0.0	0.3723922137362169
R13T04-TTVRCA_S8_2019.02.07_iseq_run_VL46-0348_R13T00-D01-3|NODE_3_length_3508_cov_5997.942079_1020_3_1|TTV_Clade3	0.0	0.0					0.0	0.0			0.0	0.0	0.20691638703719847
R13T04-TTVRCA_S8_2019.02.07_iseq_run_VL46-0348_R13T00-D01-3|NODE_5_length_2908_cov_328.515598_9_6_1|TLMV	0.0	0.0					0.0	0.0			0.0	0.0	0.011769822240912083
R13T04-TTVRCA_S8_2019.02.07_iseq_run_VL46-0348_R13T00-D01-3|NODE_7_length_2847_cov_2798.373926_319_4_1|TTV_Clade3	0.5	0.6					0.0	0.0			0.0	0.0	0.09261826099367684
R13T04-TTVRCA_S8_2019.02.07_iseq_run_VL46-0348_R13T00-D01-3|NODE_8_length_2804_cov_4929.563478_276_6_1|TTV_Clade3	0.0	0.4					0.0	0.0			0.0	0.0	0.15404079349311886
R13T04_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_8_length_2901_cov_74.074842_440_5_1|TLMV	0.0	0.0					0.0	0.0			0.0	0.0	0.0008903759886813527
