ID	R14D01	R14D02	R14T00	R14T01	R14T02	R14T03	R14T04
R14D02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3695_cov_935.189286_668_2_1|TTV_Clade3		1.0		0.0	0.0	0.0	0.0
R14T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3856_cov_14617.202315_641_2_1|TTV_Clade7		0.0		0.27669882432356413	0.0	0.0	0.0
R14T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3764_cov_18224.189809_620_2_1|TTV_Clade7		0.0		0.3487822514109992	0.0	0.0	0.0
R14T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_3_length_3761_cov_4227.949811_1113_3_1|TTV_Clade5		0.0		0.07435930790722094	0.0	0.0	0.0
R14T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_4_length_3732_cov_8756.662225_689_2_1|TTV_Clade3		0.0		0.16364133899608108	0.0	0.0	0.0
R14T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_5_length_3221_cov_3786.764371_633_3_1|TTMV		0.0		0.09389063115261292	0.0	0.0	0.0
R14T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_9_length_3165_cov_2919.744695_628_1_1|TTMV		0.0		0.04260889538917328	0.0	0.0	0.002505881149636903
R14T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3377_cov_28.965683_278_5_1|TLMV		0.0		8.789447038307927e-06	0.32051282051282054	0.9049773755656109	0.0
R14T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_2940_cov_4.657539_569_2_1|TLMV		0.0		0.0	0.6794871794871795	0.09502262443438914	0.0
R14T04_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3046_cov_4079.879973_584_2_1|TTMV		0.0		9.961373310082316e-06	0.0	0.0	0.9974941188503631
