ID	R15D01	R15D02	R15D03	R15D04	R15D05	R15D06	R15T00	R15T01	R15T02	R15T03	R15T04
R15D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_2_length_3040_cov_6.736683_586_1_1|TLMV	0	0.002322198	0	0	0	0	0	0.000279466	0	0	0
R15D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_3_length_2954_cov_39.339082_443_5_1|TLMV	0	0.01405909	0	0	0	0	0	0	0	0	0
R15D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_4_length_2941_cov_163.365211_606_6_1|TLMV	0	0.055774719	0	0	0	0	0	0.008614245	0	0	0
R15D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_5_length_2937_cov_18.009715_579_6_1|TLMV	0	0.005931397	0	0	0	0	0	8.77E-05	0	0	0
R15D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_6_length_2929_cov_8.782533_666_6_1|TLMV	0	0.003119579	0	0	0	0	0	3.47E-05	0	0	0
R15D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_7_length_2654_cov_272.194690_388_1_1|TTMV	0	0.068225057	0	0	0	0	0	0	0	0	0
R15D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_8_length_2560_cov_1461.617166_212_5_1|TTMV	0	0.478722511	2.25E-06	0	0	0	0	0.000170329	0	0	0
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_10_length_2978_cov_10136.392063_335_5_1|TTV_Clade5	0	0	0.20666432	0	0	0	0	0.124428056	0	0	0
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_12_length_2941_cov_10.648302_357_6_1|TLMV	0	0.001049186	0.000192442	0	0	0	0	0.000487646	0	0	0
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_15_length_2861_cov_112.485745_303_6_1|TLMV	0	0	0.002011277	0	0	0	0	0	0	0	0
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_17_length_2831_cov_4.933718_350_5_1|TLMV	0	0	8.99E-05	0	0	0	0	0.000688256	0	0	0
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_18_length_2795_cov_41.756204_475_1_1|TLMV	0	0	0.000729331	0	0	0	0	0.000123646	0	0	0
R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_19_length_2731_cov_2.480942_136_4_1|TTV_Clade5	0	0	4.34E-05	0	0	0	0	0	0	0	0
