orf,coverage_2,sample,source,D01,D02,D03,D04,D05,D06,T00,T01,T02,T03,T04
R04D01_20190410_VL46-0475_multiplex_nextseq|NODE_14_length_2943_cov_91.290859_633_3_1|TLMV,91.290859,R04,donor,0.0032790601870667895,NA,NA,NA,NA,NA,NA,1.6151536914137943e-4,NA,NA,NA
R04D01_20190410_VL46-0475_multiplex_nextseq|NODE_17_length_2938_cov_3457.122095_344_5_1|TTV_Clade5,3457.122095,R04,donor,0.12803402923506105,NA,NA,NA,NA,NA,NA,4.437235415971962e-7,7.951016438063901e-6,NA,4.303078719112039e-4
R04D01_20190410_VL46-0475_multiplex_nextseq|NODE_21_length_2915_cov_6.403147_500_2_1|TLMV,6.403147,R04,donor,2.350085294272151e-4,NA,NA,NA,NA,NA,NA,4.215373645173364e-6,NA,1.379483493790255e-6,7.779577345287302e-6
R04D01_20190410_VL46-0475_multiplex_nextseq|NODE_26_length_2883_cov_18.862801_536_2_1|TLMV,18.862801,R04,donor,6.248462076535366e-4,NA,NA,NA,NA,NA,NA,1.774894166388785e-6,NA,NA,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_10_length_2970_cov_38.517667_275_2_1|TLMV,38.517667,R04,donor,3.7877845331209963e-4,NA,NA,NA,NA,NA,NA,NA,NA,3.4487087344756376e-6,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_11_length_2946_cov_2956.177793_343_4_1|TLMV,2956.177793,R04,donor,0.02779459701566816,NA,NA,NA,NA,NA,NA,4.341834854528565e-4,0.0023601267126986346,NA,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_15_length_2925_cov_15.126132_184_1_1|TLMV,15.126132,R04,donor,1.4515232699916227e-4,NA,NA,NA,NA,NA,NA,4.088912435818163e-4,NA,7.156070624036948e-4,0.0029324144355892326
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_16_length_2918_cov_101.720922_503_2_1|TLMV,101.720922,R04,donor,8.460307059379743e-4,NA,NA,NA,NA,NA,NA,3.9269533431351865e-5,NA,NA,3.6952992390114686e-5
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_18_length_2915_cov_56.128671_257_2_1|TLMV,56.128671,R04,donor,5.073419429399291e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.862235840804564e-7
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_19_length_2915_cov_53.106993_329_5_1|TLMV,53.106993,R04,donor,4.86605896225763e-4,NA,NA,NA,NA,NA,NA,1.7660196955568408e-4,NA,NA,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_20_length_2906_cov_5.117503_299_5_1|TTV_Clade9,5.117503,R04,donor,4.976651211399849e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2447314027988e-5
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_26_length_2882_cov_57.784224_637_4_1|TLMV,57.784224,R04,donor,6.262286107678143e-4,NA,NA,NA,NA,NA,NA,1.641777103909626e-5,NA,NA,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_27_length_2875_cov_46.043617_308_2_1|TTV_Clade3,46.043617,R04,donor,5.018123304828181e-4,NA,NA,NA,NA,NA,NA,4.437235415971962e-7,NA,NA,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_28_length_2871_cov_5.142756_349_1_1|TTV_Clade3,5.142756,R04,donor,4.561930277116528e-5,NA,NA,NA,NA,NA,NA,0.050831637754750005,NA,NA,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_29_length_2865_cov_48.099288_336_6_1|TLMV,48.099288,R04,donor,4.3822178722604225e-4,NA,NA,NA,NA,NA,NA,1.2379886810561774e-4,NA,NA,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_3_length_3423_cov_3980.387767_925_1_1|TLMV,3980.387767,R04,donor,0.04054311853553744,NA,NA,NA,NA,NA,NA,NA,8.547342670918693e-5,NA,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_32_length_2838_cov_27.464247_489_3_1|TLMV,27.464247,R04,donor,1.9906604845599396e-4,NA,NA,NA,NA,NA,NA,1.9102298465759296e-4,NA,NA,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_35_length_2802_cov_4.147070_290_5_1|TLMV,4.14707,R04,donor,3.594248097122113e-5,NA,NA,NA,NA,NA,NA,7.210507550954438e-5,NA,NA,0.0015457047737917709
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_38_length_2742_cov_8.182360_384_3_1|TLMV,8.18236,R04,donor,6.359054325677585e-5,NA,NA,NA,NA,NA,NA,9.540056144339718e-6,NA,7.035365818330301e-5,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_41_length_2690_cov_37.840987_341_5_1|TLMV,37.840987,R04,donor,3.110407007124906e-4,NA,NA,NA,NA,NA,NA,6.713537184365578e-4,NA,NA,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_42_length_2671_cov_64.441514_341_5_1|TLMV,64.441514,R04,donor,5.322251989969283e-4,NA,NA,NA,NA,NA,NA,1.774894166388785e-6,6.625847031719917e-7,NA,3.111830938114921e-5
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_44_length_2647_cov_43.317130_247_1_1|TLMV,43.31713,R04,donor,3.594248097122113e-4,NA,NA,NA,NA,NA,NA,9.31819437354112e-5,NA,NA,2.9124792686419337e-4
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_45_length_2627_cov_110.890747_249_3_1|TLMV,110.890747,R04,donor,9.137684585375834e-4,NA,NA,NA,NA,NA,NA,1.1004343831610466e-4,NA,NA,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_47_length_2609_cov_52.361394_244_1_1|TLMV,52.361394,R04,donor,4.161033373975985e-4,NA,NA,NA,NA,NA,NA,NA,NA,2.75896698758051e-6,8.392219061228677e-4
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_5_length_3060_cov_41.358735_432_6_1|TLMV,41.358735,R04,donor,3.594248097122113e-4,NA,NA,NA,NA,NA,NA,6.655853123957944e-4,NA,NA,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_50_length_2491_cov_33.119048_263_2_1|TLMV,33.119048,R04,donor,2.7509821974126944e-4,NA,NA,NA,NA,NA,NA,3.838208634815747e-5,NA,3.4487087344756377e-7,NA
R04D01_20190529_VL46-0475_multiplex_NextSeq|NODE_9_length_2980_cov_25562.162051_381_3_1|TTV_Clade5,25562.162051,R04,donor,0.34842226332567483,NA,NA,NA,NA,NA,NA,7.853906686270373e-4,5.963262328547926e-5,0.031088040016057188,0.024048618468619373
R04D01-TTVRCA_S5_20190125_VL46-0348_R04T00-R04D02_iseq|NODE_12_length_2927_cov_4.710306_398_5_1|TLMV,4.710306,R04,donor,0.001375491098706347,NA,NA,NA,NA,NA,NA,2.1454033236224435e-4,NA,NA,NA
