"orf","sample","coverage","D01","D02","D03","D04","D05","D06","T00","T01","T02","T03","T04"
"R02D04_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3914_cov_4159.214045_896_5_1|TTV_Clade5","R02","4159.214045",NA,NA,NA,0.365785185,NA,NA,NA,NA,0.548348307,0.801998378,NA
"R04D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_17_length_2938_cov_3457.122095_344_5_1|TTV_Clade5","R04","3457.122095",0.178962213121088,0.00013362048637857,NA,NA,NA,NA,NA,NA,1.15314872062954e-05,NA,0.000440211616012555
"R04D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_21_length_2915_cov_6.403147_500_2_1|TLMV","R04","6.403147",0.000328413569275945,NA,NA,NA,NA,NA,NA,6.15330007960427e-06,NA,2.09830011461964e-06,1.28633264419253e-05
"R04D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_30_length_2834_cov_10.970853_339_6_1|TLMV","R04","10.970853",0.000531257244416969,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14388774032088e-06
"R04D01_VL46-0475-05292019|NODE_10_length_2970_cov_38.517667_275_2_1|TLMV","R04","38.517667",0.000531257244416969,NA,NA,NA,NA,NA,NA,NA,NA,5.24575028654911e-06,NA
"R04D01_VL46-0475-05292019|NODE_15_length_2925_cov_15.126132_184_1_1|TLMV","R04","15.126132",0.000200911830615872,NA,NA,NA,NA,NA,NA,0.000596222391923761,NA,0.00108691945937298,0.00429349251461595
"R04D01_VL46-0475-05292019|NODE_16_length_2918_cov_101.720922_503_2_1|TLMV","R04","101.720922",0.00118422069391855,NA,NA,NA,NA,NA,NA,5.73228481099977e-05,NA,NA,5.43118227547957e-05
"R04D01_VL46-0475-05292019|NODE_19_length_2915_cov_53.106993_329_5_1|TLMV","R04","53.106993",0.000681941117378873,NA,NA,NA,NA,NA,NA,0.0002574670296466,NA,NA,NA
"R04D01_VL46-0475-05292019|NODE_20_length_2906_cov_5.117503_299_5_1|TTV_Clade9","R04","5.117503",7.14782474306468e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14388774032088e-06
"R04D01_VL46-0475-05292019|NODE_26_length_2882_cov_57.784224_637_4_1|TLMV","R04","57.784224",0.000685804806429179,NA,NA,NA,NA,NA,NA,2.42893424194905e-05,NA,NA,NA
"R04D01_VL46-0475-05292019|NODE_28_length_2871_cov_5.142756_349_1_1|TTV_Clade3","R04","5.142756",6.37508693300363e-05,3.14401144420166e-05,NA,NA,NA,NA,NA,0.0741913106334855,NA,NA,NA
