AB008394.1,"Torque teno virus 1 ORF2, ORF1 genes, complete cds."
AB011486.1,"Torque teno virus genes for hypothetical proteins (short and long ORF), partial and complete cds, isolate: G97801."
AB011487.1,"Torque teno virus genes for hypothetical proteins (short and long ORF), partial and complete cds, isolate: G103301."
AB011488.1,"Torque teno virus genes for hypothetical proteins (short and long ORF), partial and complete cds, isolate: G102001."
AB011489.1,"Torque teno virus genes for hypothetical proteins (short and long ORF), partial and complete cds, isolate: G104901."
AB011490.1,"Torque teno virus genes for hypothetical proteins (short and long ORF), partial and complete cds, isolate: G105001."
AB011491.1,"Torque teno virus genes for hypothetical proteins (short and long ORF), partial and complete cds, isolate: G88801."
AB011493.2,"Torque teno virus genes for hypothetical proteins (short and long ORF), partial and complete cds, isolate TX011(O)."
AB011494.1,"Torque teno virus genes for hypothetical proteins (short and long ORF), partial and complete cds, isolate: TY96117."
AB021877.1,"TT virus gene for short and long ORF, partial cds."
AB026346.1,"TT virus genes for ORF1 and ORF2, complete cds, isolate:TK16."
AB026347.1,"TT virus genes for ORF1 and ORF2, complete cds, isolate:TP1-3."
AB026930.1,"TTV-like mini virus DNA, complete genome, isolate: TLMV-CBD231."
AB028669.1,"TT virus gene for ORF1 and ORF2, complete genome, isolate:TJN02."
AB030486.1,"TT virus gene for pORF2a, pORF2b, pORF1, complete cds, clone:JaCHC2c."
AB030487.1,"TT virus gene for pORF2a, pORF2b, pORF1, complete cds, clone:JaCHCTC19."
AB030488.1,"TT virus gene for pORF2a, pORF2b, pORF1, complete cds, clone:JaBD89."
AB030489.1,"TT virus gene for pORF2a, pORF2b, pORF1, complete cds, clone:JaBD98."
AB038340.1,"TT virus genes for ORF2s, ORF1, ORF3, complete cds."
AB038619.1,"TT virus complete genome, isolate:TTVsan-IR1031."
AB038620.1,"TT virus complete genome, isolate:TTVsan-S039."
AB038622.1,"TT virus genes for ORF2, ORF1, ORF3, complete cds, isolate:TTVyon-LC011."
AB038623.1,"TT virus genes for ORF2, ORF1, ORF3, complete cds, isolate:TTVyon-KC186."
AB038624.1,"TT virus genes for ORF2, ORF1, ORF3, complete cds, isolate:TTVyon-KC197."
AB038626.1,"TTV-like mini virus complete genome, isolate:TLMV-CLC138."
AB038628.1,"TTV-like mini virus complete genome, isolate:TLMV-CLC205."
AB038631.1,"Torque teno mini virus 9 DNA, complete genome, isolate: TLMV-NLC030."
AB050448.1,"Torque teno virus genes for ORF1, ORF2, ORF3, ORF4, complete cds, isolate: TYM9."
AB054648.1,"Torque teno virus DNA, complete genome, genotype 23."
AB060592.1,"Torque teno virus gene for ORF1, ORF2, ORF3, ORF4, clone: SAa-39."
AB060593.1,"Torque teno virus gene for ORF1, ORF2, ORF3, ORF4, complete cds, clone: SAa-38."
AB060595.1,"TT virus gene for ORF1, ORF2, ORF3, ORF4, complete cds, clone:SAj-30."
AB060596.1,"TT virus gene for ORF1, ORF2, ORF3, ORF4, complete cds, clone:SAf-09."
