,KU296299,KU296545,KP759662,KU143802,KR105310,KR817082,KM233072,KR534516,KP759613,KU143807,KM233100,KR653303,KR817121,KX013091,KT357835,KR534526,KT725285,KR817183,KY401645,KU296745,MH121165,KU182899,MH733479,MH733482,MH733483,MH733478,MH733480,MH733485,MH733481,MH733491,MH733484,MH733487,MH733486,MH733489,MH733488,MH733477,MH733490,MH898466,KC242792,KC242793,KC242795,KC242797,KC242794,KC242798,KM519951,KP271018,MK044559,KR819004,MK044561,MK044560,KP271020,AY142960,KY425630,AF499101,KY425639,MK088515,MH613311,MH481611,MK163665,MK163661,MK163674,MK007337,MK163667,MK731988,MK731990,MK007339,MK007330,MK007341,MK163656,MK163644,MK731992,MK007329,MK007340,MK163666,MK163672,MK163670,MK163675,MK007333,MK163662,MK731986,MK731985,MK731989,MK163650,MK163647,MK163654,MK163669,MK731987,MK163658,MK163649,MK007338,MK163668,MK007332,MK007331,MK007334,MK007335,MK007336,MK163655,MK163651,MK163646,MK731993,MK163660,MK731994,MK163653,MK163652,MK163645,MK163663,MK007343,MK163673,MK007344,MK163648,MK007342,KC242784,KC242785,KC242786,KC242787,KC242790,KC242788,HQ613403,KC242789,HQ613402,KC242800,KY471124,KY471125,KU182910,NC_014372,FJ217162,MH121167,KR063673,NC_014373,MK028835,KC545393,KC545395,KC545394,KC545396,NC_039345,MK340750,MF319186,AY769362,KY798004,KY798005,KY798006,MK088530,AF522874,NC_004161,KY008770,JX477166,KY798009,AB050936,KY798008,KY798007,MF540571,FJ621585,KY798012,KY798010,FJ621584,KU182912,AY729654,MH121163,JN638998,KC545389,KC545390,KC545391,KC545392,KC589025,KT878488,MH121162,MK952150,FJ968794,KC242783,EU338380,MH121169,KT750754
KU296299,,99.42,99.57,99.57,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.27,99.27,99.13,99.13,99.13,97.05,96.91,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.61,96.46,96.47,96.46,96.76,96.76,96.76,96.32,96.32,96.32,96.32,96.32,96.32,96.46,96.46,96.02,96.76,96.76,96.46,96.46,95.72,95.72,95.87,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,96.02,95.87,95.87,95.87,95.73,97.05,97.05,97.05,97.05,97.05,97.05,97.05,97.05,97.05,96.76,96.76,96.76,65.57,65.57,65.57,65.57,64.30,64.30,64.15,64.44,64.59,64.59,64.59,61.34,61.62,61.19,58.04,58.04,58.04,58.04,58.04,57.89,57.89,57.89,57.89,57.89,58.04,57.60,57.60,57.60,57.02,56.87,56.87,56.58,53.79,53.79,53.79,53.79,53.65,53.65,53.65,53.65,53.65,53.65,53.65,53.65,53.51,53.79,53.79,53.79,53.65
KU296545,99.42,,99.71,99.71,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.56,99.71,99.71,99.56,99.56,99.42,97.49,97.34,97.05,97.05,97.05,97.05,97.05,97.05,97.05,97.05,97.05,97.05,97.05,97.05,97.05,97.05,96.90,96.91,96.90,97.20,97.20,97.20,96.75,96.75,96.75,96.75,96.75,96.75,96.90,96.90,96.46,97.20,97.20,96.90,96.90,96.16,96.16,96.31,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.46,96.31,96.31,96.31,96.17,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.20,97.20,97.20,65.56,65.56,65.56,65.56,64.29,64.29,64.15,64.44,64.58,64.58,64.58,61.33,61.62,61.33,58.32,58.32,58.32,58.32,58.32,58.18,58.18,58.18,58.18,58.18,58.32,57.88,57.88,57.88,57.30,57.16,57.16,56.72,53.93,53.93,53.93,53.93,53.79,53.79,53.79,53.79,53.79,53.64,53.64,53.64,53.50,53.79,53.79,53.79,53.64
KP759662,99.57,99.71,,100.00,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.70,99.70,99.56,99.56,99.42,97.49,97.34,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,96.89,96.90,96.89,97.19,97.19,97.19,96.75,96.75,96.75,96.75,96.75,96.75,96.89,96.89,96.45,97.19,97.19,96.89,96.89,96.15,96.15,96.30,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.30,96.30,96.30,96.16,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.19,97.19,97.19,65.70,65.70,65.70,65.70,64.43,64.43,64.29,64.58,64.72,64.72,64.72,61.47,61.75,61.47,58.32,58.32,58.32,58.32,58.32,58.17,58.17,58.17,58.17,58.17,58.32,57.88,57.88,57.88,57.30,57.15,57.15,56.86,53.92,53.92,53.92,53.92,53.78,53.78,53.78,53.78,53.78,53.64,53.64,53.64,53.50,53.78,53.78,53.78,53.64
KU143802,99.57,99.71,100.00,,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.70,99.70,99.56,99.56,99.42,97.49,97.34,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,97.04,96.89,96.90,96.89,97.19,97.19,97.19,96.75,96.75,96.75,96.75,96.75,96.75,96.89,96.89,96.45,97.19,97.19,96.89,96.89,96.15,96.15,96.30,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.45,96.30,96.30,96.30,96.16,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.49,97.19,97.19,97.19,65.70,65.70,65.70,65.70,64.43,64.43,64.29,64.58,64.72,64.72,64.72,61.47,61.75,61.47,58.32,58.32,58.32,58.32,58.32,58.17,58.17,58.17,58.17,58.17,58.32,57.88,57.88,57.88,57.30,57.15,57.15,56.86,53.92,53.92,53.92,53.92,53.78,53.78,53.78,53.78,53.78,53.64,53.64,53.64,53.50,53.78,53.78,53.78,53.64
KR105310,99.42,99.86,99.85,99.85,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.70,99.85,99.85,99.70,99.70,99.56,97.63,97.49,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.04,97.05,97.04,97.34,97.34,97.34,96.89,96.89,96.89,96.89,96.89,96.89,97.04,97.04,96.60,97.34,97.34,97.04,97.04,96.30,96.30,96.45,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.45,96.45,96.45,96.31,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.34,97.34,97.34,65.70,65.70,65.70,65.70,64.43,64.43,64.29,64.58,64.72,64.72,64.72,61.47,61.75,61.47,58.46,58.46,58.46,58.46,58.46,58.32,58.32,58.32,58.32,58.32,58.46,58.02,58.02,58.02,57.44,57.30,57.30,56.86,54.07,54.07,54.07,54.07,53.92,53.92,53.92,53.92,53.92,53.78,53.78,53.78,53.64,53.92,53.92,53.92,53.78
KR817082,99.42,99.86,99.85,99.85,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.70,99.85,99.85,99.70,99.70,99.56,97.63,97.49,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.04,97.05,97.04,97.34,97.34,97.34,96.89,96.89,96.89,96.89,96.89,96.89,97.04,97.04,96.60,97.34,97.34,97.04,97.04,96.30,96.30,96.45,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.45,96.45,96.45,96.31,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.34,97.34,97.34,65.70,65.70,65.70,65.70,64.43,64.43,64.29,64.58,64.72,64.72,64.72,61.47,61.75,61.47,58.46,58.46,58.46,58.46,58.46,58.32,58.32,58.32,58.32,58.32,58.46,58.02,58.02,58.02,57.44,57.30,57.30,56.86,54.07,54.07,54.07,54.07,53.92,53.92,53.92,53.92,53.92,53.78,53.78,53.78,53.64,53.92,53.92,53.92,53.78
KM233072,99.42,99.86,99.85,99.85,100.00,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.70,99.85,99.85,99.70,99.70,99.56,97.63,97.49,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.04,97.05,97.04,97.34,97.34,97.34,96.89,96.89,96.89,96.89,96.89,96.89,97.04,97.04,96.60,97.34,97.34,97.04,97.04,96.30,96.30,96.45,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.45,96.45,96.45,96.31,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.34,97.34,97.34,65.70,65.70,65.70,65.70,64.43,64.43,64.29,64.58,64.72,64.72,64.72,61.47,61.75,61.47,58.46,58.46,58.46,58.46,58.46,58.32,58.32,58.32,58.32,58.32,58.46,58.02,58.02,58.02,57.44,57.30,57.30,56.86,54.07,54.07,54.07,54.07,53.92,53.92,53.92,53.92,53.92,53.78,53.78,53.78,53.64,53.92,53.92,53.92,53.78
KR534516,99.42,99.86,99.85,99.85,100.00,100.00,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,99.70,99.85,99.85,99.70,99.70,99.56,97.63,97.49,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.04,97.05,97.04,97.34,97.34,97.34,96.89,96.89,96.89,96.89,96.89,96.89,97.04,97.04,96.60,97.34,97.34,97.04,97.04,96.30,96.30,96.45,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.45,96.45,96.45,96.31,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.34,97.34,97.34,65.70,65.70,65.70,65.70,64.43,64.43,64.29,64.58,64.72,64.72,64.72,61.47,61.75,61.47,58.46,58.46,58.46,58.46,58.46,58.32,58.32,58.32,58.32,58.32,58.46,58.02,58.02,58.02,57.44,57.30,57.30,56.86,54.07,54.07,54.07,54.07,53.92,53.92,53.92,53.92,53.92,53.78,53.78,53.78,53.64,53.92,53.92,53.92,53.78
KP759613,99.42,99.86,99.85,99.85,100.00,100.00,100.00,100.00,,100.00,100.00,100.00,100.00,100.00,99.70,99.85,99.85,99.70,99.70,99.56,97.63,97.49,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.04,97.05,97.04,97.34,97.34,97.34,96.89,96.89,96.89,96.89,96.89,96.89,97.04,97.04,96.60,97.34,97.34,97.04,97.04,96.30,96.30,96.45,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.45,96.45,96.45,96.31,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.34,97.34,97.34,65.70,65.70,65.70,65.70,64.43,64.43,64.29,64.58,64.72,64.72,64.72,61.47,61.75,61.47,58.46,58.46,58.46,58.46,58.46,58.32,58.32,58.32,58.32,58.32,58.46,58.02,58.02,58.02,57.44,57.30,57.30,56.86,54.07,54.07,54.07,54.07,53.92,53.92,53.92,53.92,53.92,53.78,53.78,53.78,53.64,53.92,53.92,53.92,53.78
KU143807,99.42,99.86,99.85,99.85,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,100.00,100.00,99.70,99.85,99.85,99.70,99.70,99.56,97.63,97.49,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.19,97.04,97.05,97.04,97.34,97.34,97.34,96.89,96.89,96.89,96.89,96.89,96.89,97.04,97.04,96.60,97.34,97.34,97.04,97.04,96.30,96.30,96.45,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.60,96.45,96.45,96.45,96.31,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.63,97.34,97.34,97.34,65.70,65.70,65.70,65.70,64.43,64.43,64.29,64.58,64.72,64.72,64.72,61.47,61.75,61.47,58.46,58.46,58.46,58.46,58.46,58.32,58.32,58.32,58.32,58.32,58.46,58.02,58.02,58.02,57.44,57.30,57.30,56.86,54.07,54.07,54.07,54.07,53.92,53.92,53.92,53.92,53.92,53.78,53.78,53.78,53.64,53.92,53.92,53.92,53.78
